controller,seed,manifest_id,scenario_id,scenario_type,scenario_category,primary_actor_id,actor_ids,mixed,route_position_m,encountered,evaluable,encountered_at_s,resolved_at_s,time_to_resolve_s,completed,success,collision,deadlock_duration_s,overtake_attempted,overtake_successful,minimum_ttc_s,minimum_clearance_m
Rule Controller,2026002,0532c34066c81ae2,seed-2026002-scenario-00020,pedestrian,pedestrian,sim-001eea12-pedestrian-00020,sim-001eea12-pedestrian-00020,False,1860.7292038826015,False,False,,,,False,False,False,0.0,False,False,,
Hybrid ML Controller,2026002,0532c34066c81ae2,seed-2026002-scenario-00000,pedestrian,pedestrian,sim-001eea12-pedestrian-00000,sim-001eea12-pedestrian-00000,False,59.01616963439754,True,True,0.05,20.350000000000154,20.300000000000153,True,True,False,0.1,False,False,6.29901454399847,5.608669634397707
Hybrid ML Controller,2026002,0532c34066c81ae2,seed-2026002-scenario-00001,stopped_car,mixed,sim-001eea12-stopped-car-00001,sim-001eea12-stopped-car-00001|sim-001eea12-left-traffic-00001,True,132.81789964042045,True,True,18.200000000000124,27.10000000000025,8.900000000000126,True,True,False,0.0,True,True,0.2788282819827234,-1.875
Hybrid ML Controller,2026002,0532c34066c81ae2,seed-2026002-scenario-00002,slow_car,mixed,sim-001eea12-slow-car-00002,sim-001eea12-slow-car-00002|sim-001eea12-left-traffic-00002,True,231.6496326229734,True,True,30.450000000000298,39.49999999999989,9.049999999999596,True,True,False,0.0,False,False,18.048361923339407,3.625
Hybrid ML Controller,2026002,0532c34066c81ae2,seed-2026002-scenario-00004,truck,truck,sim-001eea12-truck-00004,sim-001eea12-truck-00004,False,419.5879821790436,True,True,44.5999999999996,,,False,False,False,0.0,True,False,6.142440512202697,20.892965312496706
Hybrid ML Controller,2026002,0532c34066c81ae2,seed-2026002-scenario-00005,stopped_car,stopped_car,sim-001eea12-stopped-car-00005,sim-001eea12-stopped-car-00005,False,519.7076642895761,True,True,48.89999999999936,68.44999999999825,19.549999999998896,True,True,False,0.0,True,True,1.9050842992642354,1.5190298917609004
Hybrid ML Controller,2026002,0532c34066c81ae2,seed-2026002-scenario-00007,pedestrian,pedestrian,sim-001eea12-pedestrian-00007,sim-001eea12-pedestrian-00007,False,691.4927246103077,True,True,78.89999999999766,101.0999999999964,22.199999999998738,True,True,False,3.099999999999997,False,False,4.46919980990959,0.42500000000000027
Hybrid ML Controller,2026002,0532c34066c81ae2,seed-2026002-scenario-00008,stopped_car,mixed,sim-001eea12-stopped-car-00008,sim-001eea12-stopped-car-00008|sim-001eea12-left-traffic-00008,True,788.4756346632224,True,False,101.79999999999636,109.39999999999593,7.599999999999568,True,False,False,0.0,False,False,33.08945819062044,3.625
Hybrid ML Controller,2026002,0532c34066c81ae2,seed-2026002-scenario-00009,pedestrian,pedestrian,sim-001eea12-pedestrian-00009,sim-001eea12-pedestrian-00009,False,862.7082670619541,True,False,107.79999999999602,,,False,False,False,0.0,False,False,10.73080742271606,6.097644815919466
Hybrid ML Controller,2026002,0532c34066c81ae2,seed-2026002-scenario-00010,slow_car,mixed,sim-001eea12-slow-car-00010,sim-001eea12-slow-car-00010|sim-001eea12-left-traffic-00010,True,936.1196745610206,False,False,,,,False,False,False,0.0,False,False,,
Hybrid ML Controller,2026002,0532c34066c81ae2,seed-2026002-scenario-00011,truck,truck,sim-001eea12-truck-00011,sim-001eea12-truck-00011,False,1017.2430646997694,False,False,,,,False,False,False,0.0,False,False,,
Hybrid ML Controller,2026002,0532c34066c81ae2,seed-2026002-scenario-00012,slow_car,slow_car,sim-001eea12-slow-car-00012,sim-001eea12-slow-car-00012,False,1119.6446232985802,False,False,,,,False,False,False,0.0,False,False,,
Hybrid ML Controller,2026002,0532c34066c81ae2,seed-2026002-scenario-00014,truck,truck,sim-001eea12-truck-00014,sim-001eea12-truck-00014,False,1293.8033900127525,False,False,,,,False,False,False,0.0,False,False,,
Hybrid ML Controller,2026002,0532c34066c81ae2,seed-2026002-scenario-00015,pedestrian,pedestrian,sim-001eea12-pedestrian-00015,sim-001eea12-pedestrian-00015,False,1367.4594547599797,False,False,,,,False,False,False,0.0,False,False,,
Hybrid ML Controller,2026002,0532c34066c81ae2,seed-2026002-scenario-00017,slow_car,slow_car,sim-001eea12-slow-car-00017,sim-001eea12-slow-car-00017,False,1559.1523335335316,False,False,,,,False,False,False,0.0,False,False,,
Hybrid ML Controller,2026002,0532c34066c81ae2,seed-2026002-scenario-00018,stopped_car,stopped_car,sim-001eea12-stopped-car-00018,sim-001eea12-stopped-car-00018,False,1664.6503783540948,False,False,,,,False,False,False,0.0,False,False,,
Hybrid ML Controller,2026002,0532c34066c81ae2,seed-2026002-scenario-00019,truck,truck,sim-001eea12-truck-00019,sim-001eea12-truck-00019,False,1755.6194316594708,False,False,,,,False,False,False,0.0,False,False,,
Hybrid ML Controller,2026002,0532c34066c81ae2,seed-2026002-scenario-00020,pedestrian,pedestrian,sim-001eea12-pedestrian-00020,sim-001eea12-pedestrian-00020,False,1860.7292038826015,False,False,,,,False,False,False,0.0,False,False,,
