run_id,profile_id,completion_reason,valid_for_analysis,target_duration_s,actual_duration_s,warmup_duration_s,packet_loss_percent,delay_ms,disconnect_at_s,disconnect_duration_s,duplicate_percent,out_of_order_percent,missing_vehicle_percent,invalid_vehicle_percent,missing_actors_percent,received_messages,transport_published_messages,applied_snapshots,rejected_contract,rejected_malformed_json,rejected_invalid,rejected_duplicate,rejected_out_of_order,stale_frame_percentage,mean_latency_ms,p95_latency_ms,mean_state_age_ms,p95_state_age_ms,mean_frame_time_ms,p95_frame_time_ms,mean_fps,recovery_elapsed_s,recovery_time_ms,maximum_recovery_jump_m,warning_count,error_count,snapshot_rows,frame_rows,source_rate_hz,source_fault_seed,source_packet_loss_percent,source_delay_ms,source_disconnect_at_s,source_disconnect_duration_s,source_duplicate_percent,source_out_of_order_percent,source_missing_vehicle_percent,source_invalid_vehicle_percent,source_missing_actors_percent,source_generated_messages,source_intentionally_dropped_messages,source_duplicate_messages_sent,source_out_of_order_messages_scheduled,source_malformed_messages_sent,valid_snapshot_count,partial_snapshot_count,mean_truth_speed_mps,presentation_delay_ms,expected_presentation_lag_distance_m,expected_injected_delay_distance_m,mean_position_error_m,p95_position_error_m,maximum_position_error_m,matched_position_frames,achieved_injected_loss_percent,matched_baseline_mean_position_error_m,baseline_adjusted_mean_position_error_m,position_error_residual_to_buffer_plus_delay_m
loss05_r02,loss05,measurement_window_complete,True,300,300.007748,30,5,0,-1,0.0,0,0,0,0,0,8578,8524,8524,0,0,0,0,0,0.000647,4.696199,2.965379,19.84057,37.424898,0.970803,1.82996,1030.075528,75.363659,1.625061,7.63759,0,0,8524,309024,30.0,902,5.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9000,477,0,0,0,8524,0,13.900000000000004,160.0,2.2240000000000006,0.0,2.249694123911577,2.2776763508560136,17.004758792123162,309024,5.3,2.252443382479196,-0.002749258567618984,0.025694123911576217
loss05_r03,loss05,measurement_window_complete,True,300,300.001625,30,5,0,-1,0.0,0,0,0,0,0,8595,8538,8538,0,0,0,0,0,0.000313,2.461333,1.135218,19.764728,36.01408,0.937705,1.582791,1066.433472,198.029472,1.144409,8.497133,0,0,8538,319931,30.0,903,5.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9000,462,0,0,0,8538,0,13.900000000000004,160.0,2.2240000000000006,0.0,2.2475706968735336,2.259683490410991,16.222289062614934,319931,5.133333333333334,2.25367764206252,-0.006106945188986579,0.02357069687353297
loss10_r01,loss10,measurement_window_complete,True,300,300.010864,30,10,0,-1,0.0,0,0,0,0,0,8195,8137,8137,0,0,0,0,0,0.0,0.966883,2.149105,21.420023,52.112436,0.930087,1.591582,1075.168663,,,,0,0,8137,322552,30.0,901,10.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9000,863,0,0,0,8137,0,13.900000000000004,160.0,2.2240000000000006,0.0,2.248422296303741,2.260546256877077,2.8394879358353777,322552,9.588888888888889,2.2505231755400983,-0.002100879236357489,0.024422296303740154
loss10_r02,loss10,measurement_window_complete,True,300,300.001541,30,10,0,-1,0.0,0,0,0,0,0,8173,8110,8110,0,0,0,0,0,0.0,1.157267,2.625299,21.437271,52.759671,0.824372,1.083599,1213.044826,,,,2,0,8110,363915,30.0,902,10.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9000,890,0,0,0,8110,0,13.900000000000004,160.0,2.2240000000000006,0.0,2.2470494854491814,2.261831552511868,4.838989449225656,363915,9.88888888888889,2.252443382479196,-0.005393897030014472,0.02304948544918073
loss10_r03,loss10,measurement_window_complete,True,300,300.002071,30,10,0,-1,0.0,0,0,0,0,0,8133,8071,8071,0,0,0,0,0,0.0,1.018688,2.41518,21.524647,53.342509,0.861222,0.915377,1161.141388,,,,0,0,8071,348344,30.0,903,10.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9000,929,0,0,0,8071,0,13.900000000000004,160.0,2.2240000000000006,0.0,2.247685669881577,2.2632335902250875,2.878715357427897,348344,10.322222222222223,2.25367764206252,-0.005991972180943161,0.023685669881576388
loss20_r01,loss20,measurement_window_complete,True,300,300.002392,30,20,0,-1,0.0,0,0,0,0,0,7288,7227,7227,0,0,0,0,0,0.000316,3.435299,2.718639,25.878948,64.904928,0.94895,1.83809,1053.796628,86.749332,1.220703,8.656964,0,0,7227,316140,30.0,901,20.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9000,1773,0,0,0,7227,0,13.900000000000004,160.0,2.2240000000000006,0.0,2.2493050080949937,2.2673812070381683,16.655019682308517,316140,19.7,2.2505231755400983,-0.001218167445104612,0.02530500809499303
loss20_r02,loss20,measurement_window_complete,True,300,300.002457,30,20,0,-1,0.0,0,0,0,0,0,7268,7208,7208,0,0,0,0,0,0.000916,7.228405,3.287899,25.978193,65.404356,0.916213,1.802296,1091.44925,76.982353,2.220154,8.74062,0,0,7208,327436,30.0,902,20.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9000,1793,0,0,0,7208,0,13.900000000000004,160.0,2.2240000000000006,0.0,2.2484530062348216,2.273430657806914,16.7187840715275,327436,19.92222222222222,2.252443382479196,-0.003990376244374261,0.02445300623482094
loss20_r03,loss20,measurement_window_complete,True,300,300.001469,30,20,0,-1,0.0,0,0,0,0,0,7238,7171,7171,0,0,0,0,0,0.0,1.164709,3.247499,26.315529,65.841126,0.891848,1.708989,1121.267885,,,,0,0,7171,336387,30.0,903,20.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9000,1830,0,0,0,7171,0,13.900000000000004,160.0,2.2240000000000006,0.0,2.2488372906241647,2.275204946583181,2.818590656618044,336387,20.333333333333332,2.25367764206252,-0.0048403514383554835,0.024837290624164066
missingactors_r01,missingactors,measurement_window_complete,True,60,60.000854,30,0,0,-1,0.0,0,0,0,0,5,1814,1800,1800,0,0,0,0,0,0.0,1.368863,2.9459,17.811862,32.765245,0.966291,0.995154,1034.884747,,,,0,0,1800,62094,30.0,901,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,5.0,1800,0,0,0,92,1800,0,13.900000000000004,160.0,2.2240000000000006,0.0,2.2520038286468704,2.276211885401127,2.7227667457833307,62094,0.0,2.2505231755400983,0.0014806531067721451,0.02800382864686979
missingvehicle_r01,missingvehicle,measurement_window_complete,True,60,60.000488,30,0,0,-1,0.0,0,0,5,0,0,1816,1708,1708,92,0,0,0,0,0.0,0.866622,1.09067,19.542918,35.354328,0.80606,0.91267,1240.601961,,,,92,0,1708,74437,30.0,901,0.0,0.0,-1.0,0.0,0.0,0.0,5.0,0.0,0.0,1800,0,0,0,92,1708,0,13.900000000000004,160.0,2.2240000000000006,0.0,2.245238048983458,2.2507366975426355,3.6009929955120534,74437,0.0,2.2505231755400983,-0.005285126556640485,0.02123804898345716
